# Synthetic demonstration data - not real utility data.
# Model-estimated failure probability, deterministic grid impact, and priority ranking.
# This is a simplified network-impact model, not an electrical power-flow simulator.
asset_id,asset_type,criticality,failure_risk,risk_category,grid_impact,priority_score,priority_category,maintenance_days_ago,previous_failures,customers_affected_estimate,critical_facilities_estimate,neighbor_count,risk_factors,impact_factors,priority_reason
CAP-109,capacitor_bank,High,97.12,MEDIUM,75.23,100.0,CRITICAL,260,1,2705,4,2,Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Multiple critical facilities (4); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
FDR-263,feeder,High,98.03,MEDIUM,67.42,97.0491,CRITICAL,263,2,1885,3,4,Elevated temperature; Older equipment; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
FDR-143,feeder,High,99.76,CRITICAL,60.6,90.2424,CRITICAL,337,2,2149,2,3,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-182,transformer,High,99.67,CRITICAL,68.19,86.4053,CRITICAL,264,0,2455,3,3,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-335,transformer,High,99.36,HIGH,68.05,85.8696,CRITICAL,260,0,1986,3,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-380,transformer,High,97.87,MEDIUM,65.7,85.4883,CRITICAL,141,2,1534,3,2,Elevated temperature; Prior failures recorded; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
FDR-310,feeder,High,99.79,CRITICAL,61.04,83.5491,CRITICAL,269,2,2167,2,4,High vibration; Elevated temperature; Older equipment; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
CAP-132,capacitor_bank,High,99.79,CRITICAL,53.0,83.1766,CRITICAL,280,3,1567,1,5,High vibration; Elevated temperature; Older equipment; High load on asset; Prior failures recorded; Rising temperature trend; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> CRITICAL priority
FDR-192,feeder,High,99.07,HIGH,60.57,83.0579,CRITICAL,307,2,1948,2,4,High vibration; Elevated temperature; Older equipment; Maintenance overdue; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-176,transformer,High,98.58,HIGH,53.4,82.3528,CRITICAL,255,3,2457,1,1,Elevated temperature; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (1); High criticality classification,High failure risk despite moderate grid impact -> CRITICAL priority
FDR-196,feeder,High,99.07,HIGH,60.05,81.286,CRITICAL,253,1,2076,2,2,Elevated temperature; High load on asset; Prior failures recorded; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
CAP-124,capacitor_bank,High,99.74,CRITICAL,69.02,80.6748,CRITICAL,262,1,2259,3,6,Elevated temperature; Older equipment; Prior failures recorded; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
FDR-202,feeder,High,99.54,CRITICAL,62.42,79.3981,CRITICAL,284,0,2702,2,5,Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
FDR-115,feeder,High,99.53,CRITICAL,62.71,78.0362,CRITICAL,200,0,2885,2,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
CAP-136,capacitor_bank,High,98.54,HIGH,67.18,77.3215,CRITICAL,250,0,1632,3,5,Elevated temperature; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
BRK-123,breaker,High,98.5,HIGH,67.61,76.8434,CRITICAL,207,0,1797,3,5,Elevated temperature; Older equipment; Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
RCL-115,recloser,High,98.62,HIGH,60.92,76.8341,CRITICAL,287,0,2310,2,3,Elevated temperature; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-376,transformer,High,99.72,CRITICAL,61.43,76.7474,CRITICAL,208,0,2165,2,5,Elevated temperature; Older equipment; Rising temperature trend; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-251,transformer,High,97.73,MEDIUM,69.2,76.6135,CRITICAL,143,0,2813,3,4,Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
TX-297,transformer,High,98.0,MEDIUM,66.85,75.8309,CRITICAL,218,0,2170,3,1,Very high model failure risk,High downstream customer count; Multiple critical facilities (3); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
RCL-107,recloser,High,98.76,HIGH,60.64,75.2638,CRITICAL,220,1,2371,2,2,Elevated temperature; Prior failures recorded; Poor oil quality; Very high model failure risk,High downstream customer count; Critical facilities downstream (2); High criticality classification,High failure risk combined with high grid impact -> CRITICAL priority
