# Model-estimated failure probability based on synthetic demonstration data; not a validated real-world failure probability.
asset_id,asset_type,substation,location,latitude,longitude,age_years,temperature,temperature_trend,vibration,oil_quality,load_percentage,maintenance_days_ago,maintenance_count,previous_failures,weather_severity,humidity,wind_speed,rainfall,historical_incidents,criticality,downstream_customers,critical_facilities,neighbor_count,failure_within_horizon,failure_probability,failure_risk_percent,risk_category
FDR-100,feeder,Anand Substation,Anand,22.57005,73.10196,33.6,67.9,stable,4.95,58.0,81.3,256,1,2,32.7,40.7,23.3,27.6,2,Low,1095,0,2,1,0.9943801974199715,99.44,CRITICAL
TX-100,transformer,Bharuch Substation,Bharuch,22.36912,73.32109,43.8,63.3,stable,4.92,63.2,81.7,154,4,0,37.4,53.5,22.0,41.7,0,Medium,1460,0,2,1,0.9906478064762148,99.06,HIGH
TX-101,transformer,Baroda South Substation,Baroda South,22.07264,73.23682,41.7,66.0,rising,4.22,66.6,64.7,321,5,0,24.3,71.6,11.3,35.2,0,High,1962,1,2,1,0.9869680630363764,98.7,HIGH
FDR-101,feeder,Karjan Substation,Karjan,22.08437,73.20035,35.9,63.7,rising,4.17,69.4,44.4,363,4,2,41.0,47.3,6.7,34.7,3,Low,898,0,6,1,0.6955483137495243,69.55,MEDIUM
RCL-100,recloser,Nadiad Substation,Nadiad,21.98987,73.18517,8.1,64.3,falling,4.29,62.0,85.3,162,0,0,85.8,55.7,25.4,27.1,0,High,2141,3,2,0,0.00423161945841836,0.42,LOW
TX-102,transformer,Karjan Substation,Karjan,22.09493,73.19125,9.9,51.6,falling,2.93,75.0,58.2,96,5,0,56.4,56.3,25.0,84.6,0,High,2413,2,2,0,0.0041690641065244,0.42,LOW
BRK-100,breaker,Karjan Substation,Karjan,22.21019,73.41681,5.2,54.8,stable,2.52,82.8,45.8,214,4,0,33.1,57.3,13.4,55.6,0,Low,805,0,1,0,0.001536081904080699,0.15,LOW
TX-103,transformer,Padra Substation,Padra,22.41502,72.93657,8.3,53.9,rising,3.03,87.3,63.0,166,4,0,73.7,21.6,29.7,84.6,0,Low,387,0,5,0,0.0009451701776444245,0.09,LOW
TX-104,transformer,Halol Substation,Halol,22.12132,73.35112,36.6,74.9,stable,6.12,45.7,79.2,282,3,1,75.7,37.6,24.4,0.0,2,Medium,3060,3,6,1,0.9831518808062912,98.32,HIGH
FDR-102,feeder,Karjan Substation,Karjan,22.04744,73.10573,39.7,57.8,rising,4.04,79.0,79.3,108,4,0,38.9,48.2,32.1,57.4,1,Low,329,0,5,0,0.015782724448054213,1.58,LOW
CAP-100,capacitor_bank,Padra Substation,Padra,22.52925,73.02605,1.2,53.9,stable,2.84,82.3,63.3,236,6,1,38.4,70.5,10.9,63.4,1,Low,20,0,1,0,0.0018135078132473904,0.18,LOW
TX-105,transformer,Padra Substation,Padra,22.47438,73.42279,44.0,65.0,falling,4.53,71.8,91.9,230,5,0,4.7,52.2,35.5,95.2,0,Low,845,0,3,1,0.9946598030876992,99.47,CRITICAL
BRK-101,breaker,Vadodara Central Substation,Vadodara Central,22.26394,73.38391,44.2,62.8,falling,4.5,72.4,96.3,320,4,0,52.0,53.3,9.4,7.1,0,Medium,1040,1,1,1,0.9932460242052554,99.32,HIGH
RCL-101,recloser,Godhra Substation,Godhra,22.45003,73.264,14.8,56.3,stable,2.99,78.8,62.9,200,4,0,48.7,76.0,12.5,79.6,0,Medium,1022,1,4,0,0.004202160433002071,0.42,LOW
FDR-103,feeder,Godhra Substation,Godhra,22.35924,72.90333,30.2,60.6,rising,3.95,74.9,78.8,181,5,1,46.2,35.4,7.0,0.0,1,Medium,1501,0,2,0,0.02311212676796425,2.31,LOW
BRK-102,breaker,Baroda North Substation,Baroda North,22.09412,73.3666,41.4,65.1,rising,4.94,52.5,62.1,271,4,2,23.3,67.3,11.4,71.7,3,High,1989,0,6,1,0.9920749351922379,99.21,HIGH
TX-106,transformer,Halol Substation,Halol,22.10903,73.13399,24.8,52.3,rising,2.96,76.1,60.8,74,3,0,33.9,26.5,28.4,0.0,0,Medium,1027,1,3,0,0.0025927764921285837,0.26,LOW
CAP-101,capacitor_bank,Padra Substation,Padra,22.12915,73.17282,10.7,56.1,rising,3.32,69.7,59.0,250,3,0,42.1,69.8,19.7,32.5,0,Low,367,0,4,0,0.004423718649778841,0.44,LOW
